City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Non Sung,TH,90.0,broken clouds,15.1801,102.2569,บ้านของกลอยใจ
650,Sri Aman,MY,77.0,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
653,Papara,BR,87.8,few clouds,-3.9839,-38.7273,Romin
656,Metro,ID,75.83,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
657,Jawhar,SO,81.18,broken clouds,2.7809,45.5005,cosoble spare parts
658,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
661,Nuzvid,IN,84.2,mist,16.7833,80.85,HI-TECH LODGE
664,Kattivakkam,IN,82.4,few clouds,13.2167,80.3167,Raj's villa
665,Doha,QA,77.0,clear sky,25.2867,51.5333,Movenpick Hotel Doha
668,Miramar,US,84.0,broken clouds,25.9873,-80.2323,Miramar
671,Gandu,BR,76.75,light rain,-13.7439,-39.4867,Pousada Duarte
677,Nouakchott,MR,80.6,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
678,Marsh Harbour,BS,76.24,clear sky,26.5412,-77.0636,Abaco Beach Resort
679,Badvel,IN,78.04,clear sky,14.75,79.05,Venkatalakshuma five star tiffin centre
